state,district,season,recommended_crops,primary_crop,notes,avg_N,avg_P,avg_K,avg_ph,avg_temp,avg_rainfall
Odisha,Sambalpur,Rabi,Wheat;Gram;Mustard,Wheat,Hirakud canal rabi,78,44,40,6.2,21.0,35
Odisha,Ganjam,Kharif,Rice;Sugarcane;Coconut,Rice,Southern Odisha coast,95,52,48,5.8,28.5,220
Odisha,Ganjam,Rabi,Rice;Groundnut;Vegetables,Rice,Double cropping zone,82,48,42,6.0,21.0,35
Odisha,Balasore,Kharif,Rice;Jute;Vegetables,Rice,North coastal paddy,92,50,46,5.8,28.5,220
Odisha,Balasore,Rabi,Wheat;Potato;Mustard,Wheat,Coastal rabi crops,80,46,42,6.0,21.0,35
Odisha,Koraput,Kharif,Rice;Ragi;Maize,Rice,Tribal highland monsoon,80,42,38,5.5,28.5,220
Odisha,Koraput,Rabi,Pulses;Vegetables;Turmeric,Pulses,Hill tribe rabi farming,68,38,34,5.7,21.0,35
Rajasthan,Jaipur,Kharif,Bajra;Maize,Bajra,Arid farming,60,35,30,8.2,30.0,110
Rajasthan,Jaipur,Rabi,Mustard;Wheat,Mustard,Oilseed belt,75,42,38,8.1,21.0,35
Rajasthan,Udaipur,Kharif,Maize;Rice,Maize,Tribal monsoon region,80,45,40,7.5,30.0,110
Rajasthan,Udaipur,Rabi,Wheat;Gram,Wheat,Moderate Rabi,75,42,38,7.4,21.0,35
Rajasthan,Jodhpur,Kharif,Bajra;Guar;Moong,Bajra,Thar desert arid farming,40,22,18,8.5,30.0,110
Rajasthan,Jodhpur,Rabi,Mustard;Cumin;Wheat,Cumin,Desert spice and oilseed,55,30,26,8.4,21.0,35
Rajasthan,Kota,Kharif,Soybean;Maize;Groundnut,Soybean,Hadauti humid zone,82,46,42,7.2,30.0,110
Rajasthan,Kota,Rabi,Wheat;Gram;Mustard,Wheat,Major wheat producing zone,85,48,44,7.1,21.0,35
Rajasthan,Bikaner,Kharif,Bajra;Guar;Moong,Bajra,Extreme arid zone,35,20,16,8.6,30.0,110
Rajasthan,Bikaner,Rabi,Mustard;Wheat;Cumin,Mustard,Desert irrigated oilseed,50,28,24,8.5,21.0,35
Rajasthan,Alwar,Kharif,Bajra;Maize;Groundnut,Bajra,Eastern plain zone,65,38,34,7.8,30.0,110
Rajasthan,Alwar,Rabi,Wheat;Mustard;Gram,Mustard,Irrigated rabi crops,78,44,40,7.7,21.0,35
Rajasthan,Sri Ganganagar,Kharif,Cotton;Guar;Bajra,Cotton,Canal irrigated desert zone,75,42,38,8.0,30.0,110
Rajasthan,Sri Ganganagar,Rabi,Wheat;Mustard;Gram,Wheat,Indira canal wheat zone,88,50,46,7.9,21.0,35
Rajasthan,Chittorgarh,Kharif,Maize;Soybean;Groundnut,Maize,Southern plateau monsoon,78,44,40,7.4,30.0,110
Rajasthan,Chittorgarh,Rabi,Wheat;Gram;Opium,Wheat,Cash crop and rabi cereal,75,42,38,7.3,21.0,35
Assam,Guwahati,Kharif,Rice;Jute,Rice,High rainfall deltaic region,90,45,40,5.6,28.5,220
Assam,Guwahati,Rabi,Rice;Pulses,Rice,Double rice cropping possible,80,42,38,5.8,21.0,35
Assam,Sivasagar,Kharif,Rice;Tea;Jute,Rice,Tea belt region,85,40,36,5.4,28.5,220
Assam,Sivasagar,Rabi,Rice;Vegetables,Rice,Rabi horticulture,75,38,34,5.6,21.0,35
Assam,Dibrugarh,Kharif,Rice;Tea;Sugarcane,Rice,Upper Assam monsoon zone,88,44,40,5.3,28.5,220
Assam,Dibrugarh,Rabi,Rice;Mustard;Vegetables,Rice,Tea garden intercropping,78,40,36,5.5,21.0,35
Assam,Nagaon,Kharif,Rice;Jute;Sugarcane,Rice,Central Assam plain,92,48,44,5.6,28.5,220
Assam,Nagaon,Rabi,Rice;Potato;Vegetables,Rice,Intensive rabi cropping,82,44,40,5.8,21.0,35
Assam,Jorhat,Kharif,Rice;Tea;Maize,Rice,Upper Assam tea and rice,86,42,38,5.4,28.5,220
Assam,Jorhat,Rabi,Rice;Mustard;Potato,Rice,Short rabi window,76,40,36,5.6,21.0,35
Assam,Barpeta,Kharif,Rice;Jute;Maize,Rice,Lower Assam flood plain,90,45,40,5.5,28.5,220
Assam,Barpeta,Rabi,Rice;Mustard;Vegetables,Rice,Rabi diversification,80,42,38,5.7,21.0,35
Jharkhand,Ranchi,Kharif,Rice;Maize,Rice,Tribal region rainfed,85,45,40,5.8,28.5,220
Jharkhand,Ranchi,Rabi,Wheat;Gram,Wheat,Dry winter crops,75,42,38,6.0,21.0,35
Jharkhand,Dhanbad,Kharif,Rice;Maize;Vegetables,Rice,Mining district mixed farming,80,42,38,6.0,28.5,220
Jharkhand,Dhanbad,Rabi,Wheat;Gram;Mustard,Wheat,Urban-edge rabi crops,72,40,36,6.2,21.0,35
Jharkhand,Hazaribagh,Kharif,Rice;Maize;Groundnut,Rice,Plateau monsoon agriculture,82,44,40,5.8,28.5,220
Jharkhand,Hazaribagh,Rabi,Wheat;Gram;Linseed,Wheat,Winter cereals and oilseeds,74,42,38,6.0,21.0,35
Jharkhand,Dumka,Kharif,Rice;Maize;Millets,Rice,Santhal Pargana rainfed,78,40,36,5.5,28.5,220
Jharkhand,Dumka,Rabi,Wheat;Mustard;Vegetables,Wheat,Tribal rabi farming,68,38,34,5.8,21.0,35
Chhattisgarh,Raipur,Kharif,Rice;Maize,Rice,Chhattisgarh rice bowl,110,55,50,6.5,28.5,220
Chhattisgarh,Raipur,Rabi,Wheat;Gram,Wheat,Post-monsoon cropping,95,50,45,6.6,21.0,35
Chhattisgarh,Bilaspur,Kharif,Rice;Maize;Tur,Rice,Northern CG monsoon,100,52,48,6.3,28.5,220
Chhattisgarh,Bilaspur,Rabi,Wheat;Gram;Lentil,Wheat,Canal irrigated rabi,88,48,44,6.5,21.0,35
Chhattisgarh,Durg,Kharif,Rice;Soybean;Maize,Rice,Central plains rice zone,105,55,50,6.5,28.5,220
Chhattisgarh,Durg,Rabi,Wheat;Gram;Mustard,Wheat,Intensive rabi cropping,92,50,46,6.7,21.0,35
Chhattisgarh,Bastar,Kharif,Rice;Maize;Millets,Rice,Tribal forested region,80,42,38,5.8,28.5,220
Chhattisgarh,Bastar,Rabi,Pulses;Vegetables;Turmeric,Pulses,Minor rabi in tribal area,68,38,34,6.0,21.0,35
Goa,North Goa,Kharif,Rice;Coconut;Cashew,Rice,Coastal monsoon zone,82,42,38,5.5,28.5,220
Goa,North Goa,Rabi,Rice;Vegetables;Banana,Rice,Short rabi in coastal belt,72,38,34,5.7,21.0,35
Goa,South Goa,Kharif,Rice;Coconut;Arecanut,Rice,Western Ghats foothills,80,40,36,5.4,28.5,220
Goa,South Goa,Rabi,Rice;Vegetables;Fruits,Rice,Horticulture and spices,70,38,34,5.6,21.0,35
Himachal Pradesh,Shimla,Kharif,Maize;Rice;Vegetables,Maize,Mid-hill monsoon crops,72,38,34,5.8,20.5,220
Himachal Pradesh,Shimla,Rabi,Wheat;Barley;Apple,Wheat,Cool climate cereals and fruits,65,35,32,6.0,13.0,80
Himachal Pradesh,Kangra,Kharif,Rice;Maize;Sugarcane,Rice,Sub-tropical zone,85,45,40,6.2,20.5,220
Himachal Pradesh,Kangra,Rabi,Wheat;Barley;Gram,Wheat,Valley rabi crops,78,42,38,6.4,13.0,80
Himachal Pradesh,Mandi,Kharif,Rice;Maize;Vegetables,Rice,Valley monsoon farming,80,42,38,6.0,20.5,220
Himachal Pradesh,Mandi,Rabi,Wheat;Barley;Pea,Wheat,Hill valley rabi,72,40,36,6.2,13.0,80
Himachal Pradesh,Kullu,Kharif,Maize;Rice;Apple,Maize,High-altitude farming,68,36,32,5.8,20.5,220
Himachal Pradesh,Kullu,Rabi,Wheat;Apple;Vegetables,Apple,Famous apple belt,62,34,30,6.0,13.0,80
Himachal Pradesh,Solan,Kharif,Maize;Rice;Tomato,Tomato,Peri-urban horticulture,75,40,36,6.2,20.5,220
Himachal Pradesh,Solan,Rabi,Wheat;Pea;Vegetables,Pea,Off-season vegetable zone,68,38,34,6.4,13.0,80
Uttarakhand,Dehradun,Kharif,Rice;Maize;Sugarcane,Rice,Doon valley monsoon,90,48,44,6.5,20.5,220
Uttarakhand,Dehradun,Rabi,Wheat;Barley;Mustard,Wheat,Valley rabi cereals,82,44,40,6.7,13.0,80
Uttarakhand,Haridwar,Kharif,Rice;Sugarcane;Maize,Rice,Ganga plain irrigated,100,55,50,7.0,20.5,220
Uttarakhand,Haridwar,Rabi,Wheat;Mustard;Potato,Wheat,Canal irrigated rabi,92,50,46,7.1,13.0,80
Uttarakhand,Nainital,Kharif,Rice;Maize;Soybean,Rice,Kumaon hills monsoon,78,42,38,6.0,20.5,220
Uttarakhand,Nainital,Rabi,Wheat;Lentil;Pea,Wheat,Hill terrace farming,72,40,36,6.2,13.0,80
Uttarakhand,Udham Singh Nagar,Kharif,Rice;Sugarcane;Maize,Rice,Terai belt farming,105,58,52,6.8,20.5,220
Uttarakhand,Udham Singh Nagar,Rabi,Wheat;Mustard;Lentil,Wheat,Terai plain rabi,95,52,48,7.0,13.0,80
Uttarakhand,Chamoli,Kharif,Rice;Maize;Millets,Rice,High-altitude monsoon,65,35,30,5.5,20.5,220
Uttarakhand,Chamoli,Rabi,Wheat;Barley;Rajma,Wheat,Mountain terrace rabi,58,32,28,5.8,13.0,80
Jammu and Kashmir,Srinagar,Kharif,Rice;Maize;Vegetables,Rice,Kashmir valley monsoon,85,45,40,6.2,20.5,220
Jammu and Kashmir,Srinagar,Rabi,Wheat;Barley;Saffron,Wheat,Famous saffron cultivation,78,42,38,6.4,13.0,80
Jammu and Kashmir,Jammu,Kharif,Rice;Maize;Sugarcane,Rice,Sub-tropical plain,95,52,48,7.0,20.5,220
Jammu and Kashmir,Jammu,Rabi,Wheat;Mustard;Gram,Wheat,Shivalik rabi cereals,88,48,44,7.2,13.0,80
Jammu and Kashmir,Anantnag,Kharif,Rice;Maize;Vegetables,Rice,South Kashmir valley,82,44,40,6.0,20.5,220
Jammu and Kashmir,Anantnag,Rabi,Wheat;Barley;Apple,Wheat,Temperate fruit and cereal,75,40,36,6.2,13.0,80
Jammu and Kashmir,Baramulla,Kharif,Rice;Maize;Apple,Rice,North Kashmir monsoon,80,42,38,6.0,20.5,220
Jammu and Kashmir,Baramulla,Rabi,Wheat;Walnut;Apple,Wheat,Temperate deciduous fruits,72,38,34,6.2,13.0,80
Tripura,West Tripura,Kharif,Rice;Jute;Maize,Rice,Northeast monsoon zone,88,44,40,5.4,28.5,220
Tripura,West Tripura,Rabi,Rice;Potato;Vegetables,Rice,Double rice cropping,78,40,36,5.6,21.0,35
Tripura,South Tripura,Kharif,Rice;Rubber;Pineapple,Rice,Rubber and paddy zone,85,42,38,5.2,28.5,220
Tripura,South Tripura,Rabi,Rice;Vegetables;Mustard,Rice,Short rabi in hills,75,38,34,5.4,21.0,35
Meghalaya,East Khasi Hills,Kharif,Rice;Maize;Potato,Rice,High-altitude monsoon,78,40,36,5.0,28.5,220
Meghalaya,East Khasi Hills,Rabi,Potato;Vegetables;Strawberry,Potato,Cool climate horticulture,68,38,34,5.2,21.0,35
Meghalaya,West Garo Hills,Kharif,Rice;Maize;Ginger,Rice,Garo hills monsoon,82,42,38,5.2,28.5,220
Meghalaya,West Garo Hills,Rabi,Vegetables;Mustard;Pea,Vegetables,Hill tribe rabi crops,72,38,34,5.4,21.0,35
Nagaland,Dimapur,Kharif,Rice;Maize;Sugarcane,Rice,Foothills monsoon zone,82,42,38,5.5,28.5,220
Nagaland,Dimapur,Rabi,Rice;Vegetables;Mustard,Rice,Short winter cropping,72,38,34,5.7,21.0,35
Nagaland,Kohima,Kharif,Rice;Maize;Millets,Rice,Highland jhum cultivation,70,36,32,5.2,28.5,220
Nagaland,Kohima,Rabi,Vegetables;Potato;Pea,Potato,Cool climate vegetables,62,34,30,5.4,21.0,35
Manipur,Imphal East,Kharif,Rice;Maize;Vegetables,Rice,Manipur valley monsoon,85,44,40,5.5,28.5,220
Manipur,Imphal East,Rabi,Rice;Vegetables;Mustard,Rice,Valley double cropping,75,40,36,5.7,21.0,35
Manipur,Imphal West,Kharif,Rice;Maize;Sugarcane,Rice,Irrigated valley zone,88,45,42,5.5,28.5,220
Manipur,Imphal West,Rabi,Rice;Pea;Vegetables,Rice,Winter vegetables,78,42,38,5.8,21.0,35
Mizoram,Aizawl,Kharif,Rice;Maize;Ginger,Rice,Mizo hills jhum farming,72,38,34,5.0,28.5,220
Mizoram,Aizawl,Rabi,Vegetables;Mustard;Potato,Vegetables,Short rabi cycle,62,34,30,5.2,21.0,35
Mizoram,Lunglei,Kharif,Rice;Maize;Banana,Rice,Southern Mizoram monsoon,70,36,32,5.0,28.5,220
Mizoram,Lunglei,Rabi,Vegetables;Rice;Ginger,Vegetables,Hill cultivation rabi,60,34,30,5.2,21.0,35
Arunachal Pradesh,Papum Pare,Kharif,Rice;Maize;Millet,Rice,Eastern Himalayan monsoon,75,38,34,5.2,28.5,220
Arunachal Pradesh,Papum Pare,Rabi,Wheat;Mustard;Vegetables,Wheat,Short valley rabi,65,35,32,5.4,21.0,35
Arunachal Pradesh,East Siang,Kharif,Rice;Maize;Ginger,Rice,Siang valley monsoon,78,40,36,5.0,28.5,220
Arunachal Pradesh,East Siang,Rabi,Wheat;Vegetables;Pea,Wheat,Valley winter crops,68,36,32,5.2,21.0,35
Sikkim,East Sikkim,Kharif,Rice;Maize;Cardamom,Rice,Himalayan monsoon zone,72,38,34,5.0,20.5,220
Sikkim,East Sikkim,Rabi,Wheat;Barley;Vegetables,Wheat,Cool climate cereals,62,34,30,5.2,13.0,80
Sikkim,West Sikkim,Kharif,Rice;Cardamom;Ginger,Cardamom,Large cardamom capital,68,36,32,4.8,20.5,220
Sikkim,West Sikkim,Rabi,Wheat;Potato;Vegetables,Potato,Hill terrace farming,60,32,28,5.0,13.0,80
Maharashtra,Pune,Summer,Watermelon;Muskmelon;Brinjal;Ladyfinger,Watermelon,Summer vegetables and melons,65,38,34,6.8,32.5,15
Tamil Nadu,Madurai,Summer,Watermelon;Brinjal;Ladyfinger;Cucumber,Watermelon,Hot summer vegetable cultivation,70,40,36,7.0,32.5,15
Telangana,Hyderabad,Summer,Watermelon;Brinjal;Tomato;Papaya,Watermelon,Irrigated summer crops,68,40,36,7.0,32.5,15
Andhra Pradesh,Guntur,Summer,Mango;Watermelon;Brinjal;Papaya,Mango,Summer fruits and vegetables,70,42,38,7.0,32.5,15
Kerala,Palakkad,Summer,Pineapple;Banana;Jackfruit;Cucumber,Pineapple,Tropical summer fruits,72,38,34,5.6,32.5,15
Gujarat,Ahmedabad,Summer,Watermelon;Muskmelon;Castor;Bajra,Watermelon,Arid summer crops,55,32,28,7.8,38.0,5
Punjab,Ludhiana,Summer,Sugarcane;Maize;Vegetables;Moong,Sugarcane,Canal irrigated summer crops,90,50,45,7.2,32.5,15
Haryana,Karnal,Summer,Sugarcane;Moong;Vegetables;Maize,Sugarcane,Irrigated summer farming,85,48,42,7.3,38.0,5
Uttar Pradesh,Lucknow,Summer,Sugarcane;Watermelon;Vegetables;Moong,Sugarcane,Gangetic plain summer crops,80,45,40,7.2,32.5,15
Madhya Pradesh,Indore,Summer,Watermelon;Moong;Vegetables;Sweetpotato,Watermelon,Central India summer horticulture,65,38,34,7.0,32.5,15
Bihar,Patna,Summer,Watermelon;Mango;Vegetables;Maize,Mango,Gangetic flood plain summer,78,44,40,6.8,32.5,15
West Bengal,Kolkata,Summer,Mango;Jackfruit;Pumpkin;Brinjal,Mango,Humid summer fruits,82,46,42,6.2,32.5,15
Odisha,Cuttack,Summer,Watermelon;Vegetables;Pumpkin;Cucumber,Watermelon,Coastal summer vegetables,72,40,36,6.1,32.5,15
Rajasthan,Jaipur,Summer,Watermelon;Muskmelon;Bajra;Moong,Watermelon,Desert summer water-efficient crops,45,28,24,8.2,38.0,5
Assam,Guwahati,Summer,Pineapple;Banana;Jackfruit;Vegetables,Pineapple,Northeast summer fruits,75,38,34,5.6,32.5,15
Jharkhand,Ranchi,Summer,Vegetables;Maize;Sweetpotato;Pumpkin,Vegetables,Plateau summer mixed farming,65,36,32,5.9,32.5,15
Chhattisgarh,Raipur,Summer,Vegetables;Watermelon;Maize;Pumpkin,Watermelon,Rice bowl summer gap crops,80,44,40,6.5,32.5,15
Goa,North Goa,Summer,Mango;Cashew;Pineapple;Vegetables,Mango,Coastal orchard summer harvest,65,35,32,5.6,32.5,15
Himachal Pradesh,Shimla,Summer,Apple;Vegetables;Pea;Potato,Apple,Hill summer horticulture,60,34,30,5.9,24.5,15
Uttarakhand,Dehradun,Summer,Mango;Vegetables;Maize;Tomato,Tomato,Valley summer horticulture,72,40,36,6.5,24.5,15
Jammu and Kashmir,Srinagar,Summer,Apple;Vegetables;Saffron;Walnut,Apple,Kashmir summer fruits,65,36,32,6.2,24.5,15
Tripura,West Tripura,Summer,Pineapple;Banana;Jackfruit;Vegetables,Pineapple,NE tropical summer,70,36,32,5.5,32.5,15
Meghalaya,East Khasi Hills,Summer,Pineapple;Orange;Strawberry;Vegetables,Pineapple,Hill summer fruits,60,34,30,5.1,32.5,15
Nagaland,Dimapur,Summer,Pineapple;Banana;Vegetables;Maize,Pineapple,NE foothills summer,65,34,30,5.5,32.5,15
Manipur,Imphal East,Summer,Pineapple;Banana;Vegetables;Maize,Pineapple,Manipur valley summer,68,36,32,5.6,32.5,15
Mizoram,Aizawl,Summer,Banana;Pineapple;Vegetables;Ginger,Banana,Hill summer crops,55,30,26,5.1,32.5,15
Arunachal Pradesh,Papum Pare,Summer,Maize;Vegetables;Pineapple;Orange,Maize,Eastern Himalayan summer,58,32,28,5.3,32.5,15
Sikkim,East Sikkim,Summer,Cardamom;Vegetables;Orange;Maize,Cardamom,Himalayan organic summer,55,30,26,5.0,24.5,15
Andhra Pradesh,Kurnool,Summer,Blackgram;Watermelon;Bottlegourd;Cucumber,Blackgram,Summer pulse and vegetable cultivation,55,32,28,7.5,32.5,15
Kerala,Wayanad,Summer,Blackpepper;Coffee;Banana;Drumstick,Blackpepper,Western Ghats spice belt summer,70,36,32,5.3,32.5,15
Tamil Nadu,Salem,Summer,Bittergourd;Bottlegourd;Drumstick;Ladyfinger,Drumstick,Summer vegetable and moringa belt,62,36,32,7.0,32.5,15
Himachal Pradesh,Kullu,Summer,Cabbage;Cauliflower;Pea;Radish,Cabbage,Hill summer cole crops,58,34,30,5.8,24.5,15
Rajasthan,Kota,Summer,Coriander;Watermelon;Moong;Vegetables,Coriander,Spice and pulse summer crops,55,32,28,7.2,38.0,5
Karnataka,Chitradurga,Kharif,Horsegram;Ragi;Groundnut;Sunflower,Horsegram,Dryland pulse and millet zone,45,28,24,7.6,28.5,220
West Bengal,Nadia,Summer,Rapeseed;Jute;Pumpkin;Sweetpotato,Rapeseed,Summer oilseed and fibre crops,75,40,36,6.3,32.5,15
Madhya Pradesh,Ujjain,Summer,Soyabean;Watermelon;Moong;Vegetables,Soyabean,Malwa plateau summer cultivation,65,38,34,7.0,32.5,15
